id	text	sentiment
1613916569775513600	.@klausholetschek @Markus_Soeder @MichaelPiazolo @KM_Bayern \n\nGründlich lesen, verstehen und den eingeschlagenen Weg verlassen - sofort. \n\n#ProtectTheKids #Klimakatastrophe #KinderGesundheit https://t.co/03mLxun1lM	1
1610293430143574021	Straftäter abschieben und Grenzen zu! Alles andere ist #grünermist ! 🤞Deswegen, nur noch AfD!!! 💙💙💙 https://t.co/Hea6TPHGpF	2
1615763835658305536	Gottfried Curio (AfD): „Es findet nicht zu wenig Integration, sondern zu... https://t.co/259VzOVAAX via @YouTube	2
1617231518937538563	"Womit das ""Zögern"" der BRD wohl wirklich zu erklären ist. Wirtschaftliche Interessen. \n\nFrüher oder später wird es hier zu einer Einigung kommen und es werden nach dem 2. Wk wieder deutsche Panzer auf russische Soldaten schießen.\n\nhttps://t.co/zBggNMYZbj"	2
1621892119861366788	#Faeser wenn Frau Faeser das macht, echauffiert sich die Rechte. Bei Herrn Laschet die Linke. Beide schaden dem Ansehen der Demokratie. Wenn man dann noch hunderte Millionen für sogenannte Demokratieförderprogramme ausgibt, wird man vollends unglaubwürdig.	0
1608840424080412674	Moin! Zum #Jahreswechsel 🎆 noch schnell ‘n großes Interview über meine Arbeit im vergangenen Jahr für den #SSW im @Bundestag in der 🗞️ @taz_news -  Ein Gespräch über die Ampel und die Idee, mit Fracking Gas zu fördern @tazgezwitscher \n\nhttps://t.co/bWG12TitTG	0
1616711994198966273	Wenn es nach FDP (Strack-Zimmermann), Bundeswehrverband  und Staatsfunk geht, soll Deutschland sich offenbar für den Krieg mit einer Atommacht rüsten. BK Scholz ist wohl der Einzige, der noch nicht die Masstäbe verloren hat. https://t.co/5F2SKb5gGk	2
1599052076742766592	#Heilbronn (#BadenWuerttemberg) #HN0312\n---------------Musiker stehen auf-----------------------\n#GASRECHNUNG #strompreise #Spritpreise #Lebensmittel #Demo #Demonstration #Teuerung #Inflation #heisserHerbst #SozialProtest #protest \n\nOriginal-#Livestream: https://t.co/5ezbAqzln2 https://t.co/PDpnhFoigO	2
1627422178818793472	Die #FDP legt jetzt richtig los\n\nSteuern runter für Reiche, Steuern rauf für Arme – und wer braucht schon Kindergrundsicherung, denkt sich #ChristianLindner. https://t.co/W9XDYnhBqO	2
1611777912998612992	Mein #Vorname ist Ammad, lebe &amp; arbeite mit meiner Familie in #Berlin. Ich möchte nicht aufgrund meiner Herkunft diskriminiert werden &amp; unterstütze deshalb offen die #SPD für ihre optimistische Politik.\n@NancyFaeser @KevinHoenicke @FranziskaGiffey\n#Integrationsverweigerer	1
1618495913856581635	Gas- und Strom-Preise: Stadtwerke rechnen mit dauerhafter Verdopplung https://t.co/oaFJ2YFKQa	0
1618621026136633348	Die #Ukraine und Typen wie #Melnyk lassen nicht locker - erst humanitäre Hilfen, Geld, dann Munition, Artillerie, Panzer, jetzt Kampfjets und Langstreckenraketen. Wann fordert er deutsche Soldaten? https://t.co/MJTqaOsCDv	2
1610291278159249417	"Grüne NRW-Ministerin bekräftigt Lützerath-Räumung: ""Geht kein Weg daran vorbei""\nhttps://t.co/wTLDoYDZg7"	0
1618602175705251843	Was die meisten Leute nicht verstehen ist, dass Politiker wie @ABaerbock oder @MarinSanna sich nicht als #Kriegshetzer aufführen, weil sie dumm oder unfähig sind. Sie machen es auch nicht aus ideologischen Gründen wie sie vorgeben. Sie handeln im Auftrag des WEF und der Eliten.	2
1603028132352692226	"Gemeinde der Zukunft - #Blackout, wenn alles dunkel wird. \nhttps://t.co/j9CGz65pg0\nBlackout-Simulation für Gemeinden und Krisenstäbe (""Neustart"") - https://t.co/1zn4XT6rpI\n#Vorsorge #krisenfit.jetzt https://t.co/fOrC28UMU3"	0
